991 3.31439675162e-10
734 3.89438791826e-10
560 5.14707932683e-10
946 5.38652015065e-10
354 5.5746506057e-10
117 5.78222502882e-10
120 6.13963000735e-10
859 6.60495134029e-10
27 6.96188991177e-10
827 7.13081913776e-10
362 7.34624362632e-10
960 7.58677749754e-10
856 7.6691409872e-10
5 7.71563740512e-10
641 7.83638496537e-10
11 7.86602930137e-10
379 8.18831179246e-10
616 8.36917667953e-10
552 8.38195229276e-10
728 8.43953872845e-10
346 8.578158606e-10
2 8.58413396582e-10
996 8.73611368256e-10
423 8.80616530831e-10
348 8.90864535947e-10
7 8.9452938539e-10
412 9.17307802059e-10
215 9.309861068e-10
530 9.41139340902e-10
850 9.64190371312e-10
140 9.74928247607e-10
954 9.77807210576e-10
342 9.84755950782e-10
298 9.9018742718e-10
448 9.92646421765e-10
123 9.97407973539e-10
300 1.00579492844e-09
792 1.02759610717e-09
803 1.02924056853e-09
966 1.06181950172e-09
147 1.0640951054e-09
869 1.06830020917e-09
577 1.10070532812e-09
912 1.10591067871e-09
400 1.12508635017e-09
556 1.12582994463e-09
151 1.12589777305e-09
13 1.1423352027e-09
207 1.17335219908e-09
665 1.17708453399e-09
328 1.20347992243e-09
858 1.20899537029e-09
244 1.2183940296e-09
110 1.22950695441e-09
125 1.23361114731e-09
950 1.23631748022e-09
764 1.24268710903e-09
65 1.25122391376e-09
995 1.25941241778e-09
936 1.28497309482e-09
926 1.29499520331e-09
93 1.30734691718e-09
542 1.33108407557e-09
135 1.34117348419e-09
707 1.35414220009e-09
336 1.35553034395e-09
484 1.36094551143e-09
979 1.36407227261e-09
341 1.41175604147e-09
934 1.41213364775e-09
999 1.42349661567e-09
48 1.44050371959e-09
398 1.46800529584e-09
443 1.48646034172e-09
206 1.53078389368e-09
453 1.54259216181e-09
351 1.56026497747e-09
659 1.58682717393e-09
173 1.61135873835e-09
293 1.61894512426e-09
860 1.61898903253e-09
715 1.62291610826e-09
349 1.62490035518e-09
114 1.63814073233e-09
776 1.65795028747e-09
242 1.68106996224e-09
605 1.7025540173e-09
787 1.76838765177e-09
962 1.77759907257e-09
162 1.79054931837e-09
390 1.79937894388e-09
